issue_id,row_number,issue_description,actual_score,predicted_score,absolute_error
86,86,"Customer requested suppression of certain transaction fields, citing privacy concerns related to business partners.",30.0,79.5516,49.5516
401,401,Outgoing transfers matched inbound credits from the same remitter within the same business day.,30.0,78.5684,48.5684
176,176,A correspondent request was denied due to incomplete compliance fields that were later corrected.,25.0,71.7178,46.7178
366,366,Correspondent bank requested additional documentation due to insufficient transaction narrative clarity.,25.0,70.5149,45.5149
968,968,An ongoing payment is maintained after a counterparty relationship is terminated in system records.,40.0,76.9451,36.9451
606,606,A refund was processed after a dispute where the customer could not provide supporting delivery evidence.,30.0,64.7578,34.7578
963,963,"Account activity increases after negative screening results are returned, without documented remediation steps.",50.0,82.3332,32.3332
729,729,Card transactions showed sudden spikes in online purchases inconsistent with prior patterns.,52.0,82.4154,30.4154
406,406,Customer attempted to add a new payee using altered beneficiary details that were later corrected.,45.0,74.3321,29.3321
681,681,Customer attempted to reverse transfers after beneficiary confirmation was received by the bank.,45.0,74.2463,29.2463
845,845,Transactions with a counterpart in a sanctioned region continued after the customer affirmed they had no business links there.,98.0,71.29,26.71
637,637,The customer provided an originator statement that did not correspond to the actual payer bank records.,95.0,69.3726,25.6274
779,779,Customer requested expedited processing for payments tied to a politically exposed persons-related context.,95.0,69.4562,25.5438
938,938,A customer requests to receive funds in a different currency than the declared operating currency.,52.0,77.5183,25.5183
941,941,A beneficiary is added and used only for one transaction before removal from profile.,55.0,80.3321,25.3321
438,438,A pattern of payments ended when the recipient requested additional fees outside the documented agreement.,50.0,74.9409,24.9409
336,336,Counterparty refused to share contract terms but requested payment in advance.,52.0,76.7323,24.7323
536,536,Customer requested fees to be netted against principal despite no fee schedule on file.,42.0,66.6113,24.6113
149,149,Beneficial owner’s occupation changed materially after account opening without updated documentation.,50.0,74.5763,24.5763
967,967,Customer’s declared source of funds is “salary” but deposits do not reflect payroll evidence.,45.0,68.9917,23.9917
