issue_id,row_number,issue_description,actual_score,predicted_score,absolute_error
86,86,"Customer requested suppression of certain transaction fields, citing privacy concerns related to business partners.",30.0,80.6446,50.6446
401,401,Outgoing transfers matched inbound credits from the same remitter within the same business day.,30.0,78.0859,48.0859
366,366,Correspondent bank requested additional documentation due to insufficient transaction narrative clarity.,25.0,72.1867,47.1867
176,176,A correspondent request was denied due to incomplete compliance fields that were later corrected.,25.0,72.1176,47.1176
968,968,An ongoing payment is maintained after a counterparty relationship is terminated in system records.,40.0,75.4137,35.4137
606,606,A refund was processed after a dispute where the customer could not provide supporting delivery evidence.,30.0,65.0692,35.0692
963,963,"Account activity increases after negative screening results are returned, without documented remediation steps.",50.0,83.137,33.137
729,729,Card transactions showed sudden spikes in online purchases inconsistent with prior patterns.,52.0,83.0909,31.0909
681,681,Customer attempted to reverse transfers after beneficiary confirmation was received by the bank.,45.0,74.7769,29.7769
938,938,A customer requests to receive funds in a different currency than the declared operating currency.,52.0,78.2654,26.2654
406,406,Customer attempted to add a new payee using altered beneficiary details that were later corrected.,45.0,71.2142,26.2142
438,438,A pattern of payments ended when the recipient requested additional fees outside the documented agreement.,50.0,76.162,26.162
536,536,Customer requested fees to be netted against principal despite no fee schedule on file.,42.0,67.9237,25.9237
637,637,The customer provided an originator statement that did not correspond to the actual payer bank records.,95.0,69.6718,25.3282
845,845,Transactions with a counterpart in a sanctioned region continued after the customer affirmed they had no business links there.,98.0,72.7818,25.2182
52,52,Cross-border payments included fees and taxes that were inconsistent across otherwise similar invoices.,50.0,75.0736,25.0736
676,676,Outgoing wire details were provided by the customer rather than sourced from contract documentation.,48.0,72.3892,24.3892
274,274,Customer sought to reverse completed transfers citing “routing errors” without evidence.,55.0,79.3352,24.3352
491,491,Customer requested splitting a single invoice into multiple payments across separate days.,50.0,73.9481,23.9481
162,162,A payment referenced a government agency but lacked any invoice or engagement letter for that purpose.,50.0,73.7438,23.7438
