issue_id,issue_description,priority_score
1,Cash deposits increased sharply after a previously inactive period with no updated source-of-funds documentation.,78
2,Outgoing transfers were funded by multiple small cash transactions routed through separate branches on the same day.,92
3,Customer provided inconsistent information about the nature of services received from a foreign counterparty.,70
4,Beneficial ownership details could not be corroborated after internal document verification inconsistencies were noted.,81
5,"Cross-border payments referenced vague purposes such as ""consulting"" without supporting contracts.",67
6,A customer requested to change beneficiary details immediately before a scheduled wire transfer.,72
7,Several transfers were sent to entities in a sanctioned-region list-adjacent jurisdiction without screening exceptions recorded.,88
8,Transactions showed rapid in-and-out movement with minimal account balance retention over short cycles.,85
9,The customer’s stated occupation did not align with the level of monthly transaction activity observed.,58
10,Funds were transferred to a family member’s account with no clear relationship to the business activity described.,66
11,"Card payments were reversed repeatedly after authentication attempts, suggesting possible misuse or disputes.",82
12,KYC renewal identified outdated address data while the account continued to receive high-value transfers.,72
13,A company representative avoided answering questions on contract terms and instead requested payment to an alternative bank.,86
14,"Incoming payments were split to multiple recipients shortly after receipt, limiting traceability.",96
15,Customer onboarding documents contained duplicate signatures across different forms.,78
16,Transactions referenced shipping invoices that lacked matching shipment records in internal systems.,60
17,A customer sought to structure payments just under internal review limits across several invoices.,92
18,Wire instructions used non-standard remittance text that did not match the declared business purpose.,82
19,Customer attempted to rely on a third party to provide KYC documents instead of submitting directly.,50
20,Multiple chargebacks were filed for card activity tied to the same merchant and category.,58
21,Beneficiary bank details were updated via email with no independent verification checklist completed.,67
22,The account received funds from a platform associated with high-risk crypto-to-fiat conversion activity.,87
23,Customer claimed payments were for software licenses but could not provide license keys or renewal terms.,62
24,A retail customer transferred proceeds to offshore accounts while reporting minimal legitimate income.,82
25,Correspondent documentation for cross-border transfers showed mismatched sender names between fields.,78
26,An entity used a PO box address for onboarding while stating operations at a physical location.,72
27,Payment counterparties shared the same registered address with the customer but had no declared relationship.,78
28,"Outgoing payments corresponded to invoices issued after the payment date, raising timing concerns.",80
29,Customer requested payments to be made in a different currency than the contracted currency without explanation.,60
30,Transactions were routed through a nested chain of intermediaries with limited transparency in remittance details.,88
31,A director requested immediate account closure after receiving payments from several unrelated counterparties.,84
32,Account activity increased after a change in beneficial owner with no updated risk assessment performed.,72
33,Customer provided a business registration that appeared recently issued with no supporting operational history.,68
34,Multiple international transfers were made to pay for the same service using different beneficiary names.,88
35,The customer refused to provide confirmation of receipt for goods or services tied to transfers.,58
36,"A transaction pattern suggested possible payroll laundering, with payments labeled as wages but inconsistent with headcount.",88
37,Merchant activity included unusually high volume for the declared business line with no supporting sales records.,79
38,Incoming funds originated from accounts flagged in earlier internal reviews but were not escalated for further checks.,84
39,A customer requested return of funds to a different account than the originator without documented authorization.,72
40,Repeated payments were made to a correspondent with common payment references that did not match invoices.,81
41,"KYC screening indicated possible name similarity to a watchlist, but manual checks were not documented.",75
42,Customer presented financial statements that showed large retained earnings despite minimal transaction volumes.,63
43,A series of payments were made to shell-like entities with similar bank instructions and remittance wording.,93
44,The customer’s declared industry did not match the merchant category descriptors seen on card transactions.,58
45,"Transactions involved cash withdrawals shortly after cash deposits, leaving little net funds in the account.",87
46,Beneficiary correspondence showed reluctance to provide the contract and asked to pay via alternative channels.,72
47,A customer used multiple aliases across onboarding documents that were not resolved through identity checks.,85
